"","Player","Type_of_goal","Home","Away","Time_of_Evidence","Team","Goal_Time","Penalnty","owngoal"
"35","ΔΗΜΟΣ ΠΑΝΑΓΙΩΤΗΣ","","1","1","30'","ΝΙΚΗ ΑΛΙΜΟΥ",30,0,0
"26","ΜΑΥΡΙΔΗΣ ΑΓΓΕΛΟΣ","","1","2","52'","ΠΟΣΕΙΔΩΝΑΣ ΓΛΥΦΑΔΑΣ",52,0,0
"16","ΛΑΑΡΟΥΣΙ ΣΑΜΜΙ","","2","2","76'","ΝΙΚΗ ΑΛΙΜΟΥ",76,0,0
"53","None",NA,"0","0","0","None",0,0,0
"36","ΜΠΟΥΣΙΟΣ ΣΩΤΗΡΙΟΣ","","0","1","61'","ΓΚΥΖΙΑΚΟΣ",61,0,0
"17","ΜΠΟΥΣΙΟΣ ΣΩΤΗΡΙΟΣ","","0","2","65'","ΓΚΥΖΙΑΚΟΣ",65,0,0
"27","ΦΑΡΡΟΥΚΟΥ ΡΕΝΤΙΑΝ","(πέναλτυ)","1","2","72'","ΛΑΡΙΣΑΪΚΟΣ",72,1,0
"44","ΜΠΟΥΣΙΟΣ ΣΩΤΗΡΙΟΣ","","1","3","90'","ΓΚΥΖΙΑΚΟΣ",90,0,0
"37","None",NA,"0","0","0","None",0,0,0
"18","ΑΠΟΣΤΟΛΟΠΟΥΛΟΣ ΑΝΔΡΕΑΣ","","0","1","3'","ΙΑΣΩΝ",3,0,0
"28","ΑΠΟΣΤΟΛΟΠΟΥΛΟΣ ΑΝΔΡΕΑΣ","","0","2","69'","ΙΑΣΩΝ",69,0,0
"45","None",NA,"0","0","0","None",0,0,0
"19","ΞΕΝΟΠΟΥΛΟΣ ΠΑΥΛΟΣ","","0","1","1'","ΠΑΓΚΡΑΤΙ",1,0,0
"29","ΑΚΡΙΤΙΔΗΣ ΧΡΗΣΤΟΣ","","0","2","47'","ΠΑΓΚΡΑΤΙ",47,0,0
"38","ΚΩΝΣΤΑΝΤΙΝΙΔΗΣ ΑΓΓΕΛΟΣ","","0","3","70'","ΠΑΓΚΡΑΤΙ",70,0,0
"54","None",NA,"0","0","0","None",0,0,0
"110","ΚΟΥΡΟΥΠΑΚΗΣ ΛΑΜΠΡΟΣ","","1","0","42'","ΠΑΓΚΡΑΤΙ",42,0,0
"210","ΝΑΝΟΣ ΝΙΚΟΛΑΟΣ","","2","0","45'","ΠΑΓΚΡΑΤΙ",45,0,0
"39","SPAHI LUIS","(πέναλτυ)","2","1","90'","ΑΟ ΓΛΥΦΑΔΑΣ",90,1,0
"46","ΑΚΡΙΤΙΔΗΣ ΧΡΗΣΤΟΣ","","3","1","93'","ΠΑΓΚΡΑΤΙ",93,0,0
"55","None",NA,"0","0","0","None",0,0,0
"47","ΒΑΛΜΑΣ ΚΩΝΣΤΑΝΤΙΝΟΣ","","0","1","3'","ΚΟΥΚΑΚΙ",3,0,0
"310","ΜΠΑΪΛΟΣ ΘΕΟΔΩΡΟΣ","","1","1","5'","ΚΕΡΑΥΝΟΣ ΠΕΤΡ/ΛΗΣ",5,0,0
"211","ΜΠΕΛΑΣ ΓΕΩΡΓΙΟΣ","","1","2","42'","ΚΟΥΚΑΚΙ",42,0,0
"111","ΚΑΤΗΦΟΡΗΣ ΕΥΣΤΑΘΙΟΣ","","2","2","67'","ΚΕΡΑΥΝΟΣ ΠΕΤΡ/ΛΗΣ",67,0,0
"311","None",NA,"0","0","0","None",0,0,0
"112","ΓΚΟΥΛΗΣ ΣΑΒΒΑΣ","","0","1","17'","ΛΑΡΙΣΑΪΚΟΣ",17,0,0
"212","ΜΑΥΡΙΔΗΣ ΑΓΓΕΛΟΣ","","1","1","43'","ΠΟΣΕΙΔΩΝΑΣ ΓΛΥΦΑΔΑΣ",43,0,0
"48","None",NA,"0","0","0","None",0,0,0
"113","ΑΝΤΑΛΗΣ ΧΑΡΑΛΑΜΠΟΣ","(πέναλτυ)","1","0","37'","ΙΑΣΩΝ",37,1,0
"213","ΜΠΕΚΑΤΩΡΟΣ ΑΝΔΡΕΑΣ","","2","0","52'","ΙΑΣΩΝ",52,0,0
"312","ΑΝΤΑΛΗΣ ΧΑΡΑΛΑΜΠΟΣ","","3","0","78'","ΙΑΣΩΝ",78,0,0
"8","None",NA,"0","0","0","None",0,0,0
"56","ΓΚΙΡΛΕΜΗΣ ΑΓΑΘΑΓΓΕΛΟΣ","","0","1","17'","ΠΑΝΘΗΣΕΙΑΚΟΣ",17,0,0
"114","ΜΠΟΥΝΤΟ ΚΟΥΤΜΠΙ","","0","2","29'","ΠΑΝΘΗΣΕΙΑΚΟΣ",29,0,0
"214","ΝΑΣΟΠΟΥΛΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ","","0","3","32'","ΠΑΝΘΗΣΕΙΑΚΟΣ",32,0,0
"313","ΨΑΡΟΥΔΑΚΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ","","1","3","42'","ΠΛΑΤΩΝ",42,0,0
"49","ΑΝΑΓΝΩΣΤΗΣ ΧΡΗΣΤΟΣ","","2","3","61'","ΠΛΑΤΩΝ",61,0,0
"61","ΘΕΟΧΑΡΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ","","2","4","79'","ΠΑΝΘΗΣΕΙΑΚΟΣ",79,0,0
"7","ΜΠΟΥΝΤΟ ΚΟΥΤΜΠΙ","","2","5","89'","ΠΑΝΘΗΣΕΙΑΚΟΣ",89,0,0
"215","None",NA,"0","0","0","None",0,0,0
"115","ΜΠΑΪΛΟΣ ΘΕΟΔΩΡΟΣ","","0","1","17'","ΚΕΡΑΥΝΟΣ ΠΕΤΡ/ΛΗΣ",17,0,0
"57","None",NA,"0","0","0","None",0,0,0
"314","ΛΑΜΠΟΣ ΓΕΩΡΓΙΟΣ","","0","1","35'","ΠΛΑΤΩΝ",35,0,0
"116","ΨΑΡΟΥΔΑΚΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ","","0","2","42'","ΠΛΑΤΩΝ",42,0,0
"216","ΜΙΧΑΗΛ ΕΥΘΥΜΗΣ","","1","2","45'","ΑΟ ΓΛΥΦΑΔΑΣ",45,0,0
"410","ΨΑΡΟΥΔΑΚΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ","","1","3","70'","ΠΛΑΤΩΝ",70,0,0
"315","None",NA,"0","0","0","None",0,0,0
"117","ΑΣΠΙΩΤΗΣ ΑΝΤΩΝΙΟΣ","","1","0","48'","ΚΟΥΚΑΚΙ",48,0,0
"217","ΚΩΝΣΤΑΝΤΙΝΙΔΗΣ ΑΓΓΕΛΟΣ","","1","1","58'","ΠΑΓΚΡΑΤΙ",58,0,0
"10","None",NA,"0","0","0","None",0,0,0
